Name,% Docs Cited,Web of Science Documents,Collab-CNCI,Rank,Times Cited,Affiliation,Web of Science ResearcherID,Category Normalized Citation Impact,ORCID,All Open Access Documents,Non-Open Access Documents,% All Open Access Documents,H-Index,% Non-Open Access Documents,Hot Papers
"Chiu, Dickson K. W.",100.0,5,2.59816,1,194,Lingnan University; University of Hong Kong; University of Guam; Hongkong Univ; University of Tsukuba; City University of Hong Kong; Hong Kong Baptist University; Dickson Comp Syst; Hong Kong Polytechnic University; Dickinson Comp Sys; Hong Kong University of Science & Technology; Dickson Comp; Chinese University of Hong Kong; Dickinson Comp Syst; Dickson Comp Sys; Eastbourne Dist Gen Hosp; Dickson Computing syst,B-9630-2017,2.72146,0000-0002-7926-9568,0,5,0.0,5,100.0,0
"kim, y",100.0,3,1.8033333333333335,2,110,University of Southern California; Children's Hospital Los Angeles; University of Oklahoma - Tulsa; University of Oklahoma System; University Southern California Hospital; Seoul National University (SNU); Soonchunhyang University; Korea Institute of Geoscience & Mineral Resources (KIGAM); University of Michigan; University of Michigan System; University of Ulsan; University of Oklahoma - Norman; CHLA USC; Asan Medical Center; Boston Children's Hospital; Harvard University Medical Affiliates; Harvard University; Sch Informat,AAR-6095-2020,1.3314333333333335,0000-0003-3793-6438,1,2,33.33,3,66.67,0
"Lam, Ernest",100.0,2,2.1301,3,100,Epic Sci; Hong Kong Polytechnic University; Hong Kong Acad Performing Arts; University of Hong Kong,KFA-6459-2024,2.73625,,0,2,0.0,2,100.0,0
"Abbas, June",100.0,1,4.4824,4,92,"University of Oklahoma - Norman; University of Oklahoma System; University at Buffalo, SUNY; State University of New York (SUNY) System",AAD-1062-2019,3.2508000000000004,0000-0001-8509-6061,0,1,0.0,1,100.0,0
"Lam, Apple H. C.",100.0,2,3.2319000000000004,5,85,University of Hong Kong,GDD-9519-2022,3.2605500000000003,0000-0002-2587-6979,0,2,0.0,2,100.0,0
"Choi, Namjoo",100.0,3,1.8332333333333333,6,76,University of Kentucky,DVI-5069-2022,1.3821333333333332,0000-0002-2281-5046,0,3,0.0,3,100.0,0
"Joo, Soohyung",100.0,3,1.8332333333333333,6,76,University of Kentucky; University of Wisconsin Milwaukee; University of Wisconsin System,CVY-9715-2022,1.3821333333333332,,0,3,0.0,3,100.0,0
"Cheng, Wesley Wing Hong",100.0,1,2.6561,8,51,University of Hong Kong,CLL-2542-2022,2.68,,0,1,0.0,1,100.0,0
"Au, Cheuk Hang",100.0,1,1.6041,9,49,Edith Cowan University; National Chung Cheng University; University of Sydney; Dept Informat Management; Chinese University of Hong Kong,FZM-3033-2022,2.7925,0000-0002-2121-8573,0,1,0.0,1,100.0,0
"Baek, Tae Hyun",100.0,1,2.9963,10,46,Sungkyunkwan University (SKKU); University of Kentucky; Indiana University System; Indiana University Southeast; University of Georgia; University System of Georgia,JGD-1912-2023,2.1918,0000-0003-2000-698X,0,1,0.0,1,100.0,0
"Chan, TTC",100.0,1,3.3905000000000003,11,45,University of Hong Kong,CKH-1618-2022,2.3647,,0,1,0.0,1,100.0,0
"Jones, Michael J",100.0,1,2.3019000000000003,12,42,Barton Peveril Sixth Form Coll,HNI-9432-2023,2.3936,,0,1,0.0,1,100.0,0
"Harvey, Morgan",100.0,1,2.3019000000000003,12,42,University of Sheffield; Virginia Polytechnic Institute & State University; Naval Medical Center San Diego; United States Navy; United States Department of Defense; Northumbria University; Universita della Svizzera Italiana; Portland State University; University of Erlangen Nuremberg; University of Strathclyde,DXB-3038-2022,2.3936,0000-0001-5504-2089,0,1,0.0,1,100.0,0
"Ireland, Ashley",100.0,1,1.7207000000000001,14,41,Murray State University,B-4949-2009,1.8936000000000002,0000-0001-6999-3053,1,0,100.0,1,0.0,0
"Hackathorn, Jana",100.0,1,1.7207000000000001,14,41,Murray State University; Saint Louis University,EXZ-8686-2022,1.8936000000000002,,1,0,100.0,1,0.0,0
"Murray, Adam",100.0,1,1.7207000000000001,14,41,James Madison University; Murray State University,GCF-1732-2022,1.8936000000000002,0000-0002-6294-2031,1,0,100.0,1,0.0,0
"Ho, Kai Wing Kevin",100.0,1,3.0733,17,40,University of Tsukuba; University of Guam; Hong Kong University of Science & Technology,E-8297-2013,4.1564000000000005,0000-0003-1304-0573,0,1,0.0,1,100.0,0
"Sørensen, Kristian Møhler",100.0,3,0.6059333333333333,17,40,University of Southern Denmark,ABH-4048-2020,0.46026666666666677,0000-0001-6569-390X,0,3,0.0,2,100.0,0
"Wang, Yuan",100.0,1,0.9885,19,39,Tsinghua University; Tsinghua Shenzhen International Graduate School; Beijing Natl Res Ctr Informat Sci & Technol BNRis; Air Force CPLA; Guizhou University,OGL-1570-2025,1.9317000000000002,,0,1,0.0,1,100.0,0
"Han, Lifeng",100.0,1,0.9885,19,39,Tsinghua University,C-9847-2012,1.9317000000000002,0000-0001-8412-2344,0,1,0.0,1,100.0,0
"Luo, Li-li",100.0,1,0.9885,19,39,"Fourth Peoples Hosp Nanning; Chinese Academy of Agricultural Sciences; Biotechnology Research Institute, CAAS; Third Hosp Mianyang; Sichuan University; Huazhong University of Science & Technology; Hubei Clin & Res Ctr Thrombosis & Haemostasis; Lanzhou University; Capital Medical University; Nanjing University of Chinese Medicine; Children Sichuan Univ; Anhui University of Chinese Medicine; Tianjin Medical University; San Jose State University; California State University System; China Agricultural University; Suzhou Institute of Trade & Commerce (SITC); South China University of Technology; Duanbolan Hlth Ctr Jimo Dist; Sci & Technol Innovat Pk; Jiangxi Normal University; Beijing Municipal Key Lab Clin Epidemiol; Xiamen University; Hubei Clin Med Ctr Cell Therapy Neoplast Dis; Key Lab Biol Targeted Therapy Hubei Prov; Shantou University; Fujian Medical University; Harbin Medical University; West China Second Univ Hosp; Jilin University; Northwest A&F University - China; Chinese Academy of Engineering Physics; Sun Yat Sen University; State Key Lab Oncology South China; Chinese Academy of Sciences; Institute of Geographic Sciences & Natural Resources Research, CAS; Inst Res Design Librarianship; Zhengzhou Normal University; Hubei Clin & Res Ctr Thrombosis & Hemostasis; Chongqing Normal University; Inst Res Design Librarianship IRDL; Qingdao University; Guizhou University of Traditional Chinese Medicine; Nanchang University; Wenzhou Medical University; Southern Zhejiang Water Res Inst iWATER; Guangdong Pharmaceutical University; Shaanxi Inst Int Trade & Commerce; San Jose CA State Univ; China National Rice Research Institute, CAAS; Hangzhou Normal University; Weifang Tradit Chinese Med Hosp; Sci & Technol Surface Phys & Chem Lab; Natl Assoc Social Workers; Beijing Normal University; Hebi Coll Vocat & Technol; Gansu Agricultural University; Southwest University - China; University of North Carolina; University of North Carolina Chapel Hill; Dalian University of Technology",KFP-2086-2024,1.9317000000000002,,0,1,0.0,1,100.0,0
"Stemmer, John",100.0,1,1.3010000000000002,22,31,Bellarmine University,CCT-6056-2022,1.4317,,1,0,100.0,1,0.0,0
"Mahan, David M.",100.0,1,1.3010000000000002,22,31,University of Florida; State University System of Florida; Manhattan University,FJA-1257-2022,1.4317,,1,0,100.0,1,0.0,0
"Yao, Fei",100.0,1,1.7870000000000001,24,30,Tsinghua University; Tsinghua Shenzhen International Graduate School; Jinan University; Shenzhen Eye Hospital; Luoyang Elect Equipment Testing Ctr; Beijing University of Chemical Technology; Hunan University; Tiangong University,IPT-8530-2023,1.3442,,0,1,0.0,1,100.0,0
"Bruce, Christine S",100.0,1,2.4194,24,30,James Cook University; University Health Network Toronto; University of Toronto; UK Health Security Agency (UKHSA); Sinai Health System Toronto; Lunenfeld Tanenbaum Research Institute; UK Higher Educ Acad; University of Southern Queensland; Queensland University of Technology (QUT); Higher Educ Acad; Res Training Sci & Engn Fac; Univ Higher Educ Res Network; University of Manitoba; York University - Canada; Public Health England,A-3827-2012,1.6314000000000002,0000-0002-5809-0702,0,1,0.0,1,100.0,0
"Chen, W.",100.0,1,1.7870000000000001,24,30,Tsinghua University; NCS Testing Technol Co Ltd; China Iron & Steel Research Institute Group; State Grid Corporation of China,IJP-8864-2023,1.3442,,0,1,0.0,1,100.0,0
"Harland, Fiona",100.0,1,2.4194,24,30,Queensland University of Technology (QUT),GFM-4605-2022,1.6314000000000002,0000-0002-3178-734X,0,1,0.0,1,100.0,0
"Stewart, Glenn",100.0,1,2.4194,24,30,University of Sydney; Royal North Shore Hospital; Griffith University; Mayo Clinic; Enfield Borough Council; Sch Hlth Sci & Social Work; Prince Charles Hospital; Griffith University - Gold Coast Campus; California State Polytechnic University Pomona; California State University System; Menzies Health Institute Queensland; Queensland University of Technology (QUT); London Borough Enfield; Concord Repatriation General Hospital; Concord Gen & Repatriat Hosp; W Coast Eagles Football Club,JJU-7768-2023,1.6314000000000002,,0,1,0.0,1,100.0,0
"Kwon, Nahyun",100.0,2,0.5155000000000001,24,30,Seoul National University (SNU); Ulsan National Institute of Science & Technology (UNIST); Myongji University; Ewha Womans University; Nagoya University; Japan Society for the Promotion of Science; University of Queensland; University of South Florida; State University System of Florida,MPQ-7999-2025,0.8222,,2,0,100.0,2,0.0,0
